date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:36:43	39759/39759	---M--	200	added ('OK')	image/jpeg	etag:%228b33ad31f3ab08c5af9ad5bf6b5a264e%22	http://product.hstatic.net/1000383440/product/dscf0066_8c48dabe3dbf4da196161080aca00c15_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf0066_8c48dabe3dbf4da196161080aca00c15_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:46	298027/298027	---MCZ	200	added ('OK')	text/html	etag:W/%226d5ddcbfbf7e4aa1a603488ce16567e5%22	https://bossgiay.vn/products/nike-dunk-low-retro-prm-mica-green-dv7212-300	E:/test_shoes_shop/bossgiay.vn/products/nike-dunk-low-retro-prm-mica-green-dv7212-300.html	(from https://bossgiay.vn/collections/sneaker)
23:36:48	18130/18130	---M--	200	added ('OK')	image/jpeg	etag:%225c6366166adf448dc359c3d180401819%22	http://product.hstatic.net/1000383440/product/dscf0069_52d18e97b4f948229528ee102e69ce31_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf0069_52d18e97b4f948229528ee102e69ce31_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:49	17575/17575	---M--	200	added ('OK')	image/jpeg	etag:%2210c643e60e784c88845d456835a677e4%22	http://product.hstatic.net/1000383440/product/dscf0052_1df7d76bb11f42bd99062f58963aa0f8_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf0052_1df7d76bb11f42bd99062f58963aa0f8_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:53	27677/27677	---M--	200	added ('OK')	image/jpeg	etag:%229d3de47e22746e44a1b402f9297ef90b%22	http://product.hstatic.net/1000383440/product/dscf0052_1df7d76bb11f42bd99062f58963aa0f8_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf0052_1df7d76bb11f42bd99062f58963aa0f8_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:54	25275/25275	---M--	200	added ('OK')	image/jpeg	etag:%22ee1ef5ff2303de31d94ea3d3a27a31ed%22	http://product.hstatic.net/1000383440/product/3cc7c150-42a4-4327-8750-cd5d4feb3311_55b3dce5eb944324bfd4c1141b2119d3_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/3cc7c150-42a4-4327-8750-cd5d4feb3311_55b3dce5eb944324bfd4c1141b2119d3_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:54	58900/58900	---M--	200	added ('OK')	image/jpeg	etag:%22c0bd7694c25e881aa30853ba05a26fc7%22	http://product.hstatic.net/1000383440/product/dscf0066_8c48dabe3dbf4da196161080aca00c15_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf0066_8c48dabe3dbf4da196161080aca00c15_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:56	14399/14399	---M--	200	added ('OK')	image/jpeg	etag:%22a123b82e7effd76360a35dbb30d2049c%22	http://product.hstatic.net/1000383440/product/dscf0007_5b59d0d1a15e409aa311f57dd74d638a_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf0007_5b59d0d1a15e409aa311f57dd74d638a_large.jpg	(from https://bossgiay.vn/collections/sneaker)
23:36:59	39238/39238	---M--	200	added ('OK')	image/jpeg	etag:%222676533231ff49d9cb61108e8686c106%22	http://product.hstatic.net/1000383440/product/3cc7c150-42a4-4327-8750-cd5d4feb3311_55b3dce5eb944324bfd4c1141b2119d3_grande.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/3cc7c150-42a4-4327-8750-cd5d4feb3311_55b3dce5eb944324bfd4c1141b2119d3_grande.jpg	(from https://bossgiay.vn/collections/sneaker)
23:37:02	11841/11841	---M--	200	added ('OK')	image/jpeg	etag:%22a9e2b964b469c4eac46034b4e2929525%22	http://product.hstatic.net/1000383440/product/dscf9835_24e31cfe3a78444688e645eec26387cf_large.jpg	E:/test_shoes_shop/product.hstatic.net/1000383440/product/dscf9835_24e31cfe3a78444688e645eec26387cf_large.jpg	(from https://bossgiay.vn/collections/sneaker)
